timestamp,load_kw,temperature,wind_speed,irradiance,solar_avail,wind_avail,rb_solar,rb_wind,rb_battery,rb_diesel,rb_soc,lp_solar,lp_wind,lp_battery,lp_diesel,lp_soc
2024-03-13 19:00:00,59.46370658228314,-8.0,27.4,0.0,0.0,0.0,0.0,0.0,59.46370658228314,0.0,0.47073107264721054,0.0,0.0,0.0,59.46370658228314,0.6
2024-03-13 20:00:00,57.34416497550288,-7.9,29.3,0.0,0.0,0.0,0.0,0.0,57.34416497550288,0.0,0.3460698444395956,0.0,0.0,57.34416497550288,0.0,0.47533877179238504
2024-03-13 21:00:00,52.081879709753075,-8.0,28.2,0.0,0.0,0.0,0.0,0.0,52.081879709753075,0.0,0.23284836680969762,0.0,0.0,0.0,52.081879709753075,0.47533877179238504
2024-03-13 22:00:00,42.269037744263905,-7.8,29.4,0.0,0.0,0.0,0.0,0.0,15.110248732460898,27.15878901180301,0.2,0.0,0.0,42.269037744263905,0.0,0.3834495593048548
2024-03-13 23:00:00,44.472207746064385,-7.8,28.5,0.0,0.0,0.0,0.0,0.0,0.0,44.472207746064385,0.2,0.0,0.0,0.0,44.472207746064385,0.3834495593048548
2024-03-14 00:00:00,44.496003295692844,-7.8,28.4,0.0,0.0,0.0,0.0,0.0,0.0,44.496003295692844,0.2,0.0,0.0,0.0,44.496003295692844,0.3834495593048548
2024-03-14 01:00:00,34.92184283176724,-7.3,30.4,0.0,0.0,0.0,0.0,0.0,0.0,34.92184283176724,0.2,0.0,0.0,0.0,34.92184283176724,0.3834495593048548
2024-03-14 02:00:00,28.15280552972871,-7.6,28.3,0.0,0.0,0.0,0.0,0.0,0.0,28.15280552972871,0.2,0.0,0.0,28.15280552972871,0.0,0.32224780815327064
2024-03-14 03:00:00,25.88612189312722,-8.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,25.88612189312722,0.2,0.0,0.0,0.0,25.88612189312722,0.32224780815327064
2024-03-14 04:00:00,39.349277450560756,-8.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,39.349277450560756,0.2,0.0,0.0,0.0,39.349277450560756,0.32224780815327064
2024-03-14 05:00:00,43.49019857433459,-8.1,27.9,0.0,0.0,0.0,0.0,0.0,0.0,43.49019857433459,0.2,0.0,0.0,0.0,43.49019857433459,0.32224780815327064
2024-03-14 06:00:00,42.09109211173793,-8.0,25.7,35.0,0.63,0.0,0.63,0.0,0.0,41.461092111737926,0.2,0.63,0.0,0.0,41.461092111737926,0.32224780815327064
2024-03-14 07:00:00,59.230161662756814,-7.6,25.3,118.0,2.124,0.0,2.124,0.0,0.0,57.10616166275681,0.2,2.124,0.0,0.0,57.10616166275681,0.32224780815327064
